indic_ps,unit,geo\time	2012 	2013 	2014 	2015
ACC201_01,NR,AT	: c	: c	: 	:
ACC201_01,NR,BE	1340 	1343 	1344 	1344
ACC201_01,NR,BG	2981 	2981 	2981 	2981
ACC201_01,NR,CH	2254 	2231 	2222 	2199
ACC201_01,NR,CY	1132 	1132 	1061 	1098
ACC201_01,NR,CZ	0 	6839 	6931 	6938
ACC201_01,NR,DE	13207 	13106 	25162 	27160
ACC201_01,NR,DK	797 	779 	920 	1110
ACC201_01,NR,EE	337 	339 	656 	617
ACC201_01,NR,EL	1511 	1455 	1435 	1432
ACC201_01,NR,ES	: 	9288 	9044 	8946
ACC201_01,NR,FI	1099 	1311 	1448 	1396
ACC201_01,NR,FR	17044 	17054 	17075 	17081
ACC201_01,NR,HR	1042 	1018 	1016 	1016
ACC201_01,NR,HU	3285 	3225 	3784 	3783
ACC201_01,NR,IE	1318 	1288 	1272 	1251
ACC201_01,NR,IS	147 	145 	144 	141
ACC201_01,NR,IT	: c	: c	13233 	13048
ACC201_01,NR,LT	730 	723 	706 	708
ACC201_01,NR,LU	116 	116 	114 	114
ACC201_01,NR,LV	617 	618 	618 	620
ACC201_01,NR,MK	328 	329 	329 	329
ACC201_01,NR,MT	63 	65 	65 	68
ACC201_01,NR,NL	: c	: c	: c	: c
ACC201_01,NR,NO	3048 	3002 	: 	:
ACC201_01,NR,PL	8459 	7884 	7540 	7387
ACC201_01,NR,PT	2562 	2443 	2317 	2330
ACC201_01,NR,RO	5668 	5580 	5695 	5615
ACC201_01,NR,RS	1500 	1489 	1478 	1491
ACC201_01,NR,SE	6362 	6110 	6615 	6576
ACC201_01,NR,SI	556 	556 	560 	558
ACC201_01,NR,SK	1591 	1589 	1590 	1588
ACC201_01,NR,UK	11818 	11696 	11634 	11643
ACC201_01_01,NR,BE	670 	669 	669 	664
ACC201_01_01,NR,BG	2872 	2884 	2886 	2875
ACC201_01_01,NR,CH	1752 	1657 	1557 	1459
ACC201_01_01,NR,CY	60 	60 	58 	56
ACC201_01_01,NR,CZ	: 	3314 	3316 	3314
ACC201_01_01,NR,DK	697 	631 	211 	203
ACC201_01_01,NR,EE	320 	323 	321 	320
ACC201_01_01,NR,EL	778 	727 	715 	712
ACC201_01_01,NR,ES	: 	2375 	2384 	2383
ACC201_01_01,NR,FI	924 	891 	872 	870
ACC201_01_01,NR,FR	9880 	: 	9574 	9254
ACC201_01_01,NR,HR	1042 	1016 	1016 	1016
ACC201_01_01,NR,HU	2761 	2708 	2671 	2661
ACC201_01_01,NR,IE	1152 	1147 	1140 	1130
ACC201_01_01,NR,IS	68 	68 	57 	54
ACC201_01_01,NR,IT	: c	: c	: c	: c
ACC201_01_01,NR,LT	689 	676 	657 	659
ACC201_01_01,NR,LU	97 	97 	97 	96
ACC201_01_01,NR,LV	616 	617 	617 	619
ACC201_01_01,NR,MK	328 	329 	315 	315
ACC201_01_01,NR,MT	33 	34 	34 	36
ACC201_01_01,NR,NL	: z	: z	: 	:
ACC201_01_01,NR,NO	1407 	1412 	1420 	1400
ACC20
